Год,Инфляция,ВВП на душу,USD,Прибывшие,Уехавшие,Индекс счастья
2000,20.2,49834.9,28.115,2662329.0,2420574.0,
2001,18.58,61267.3,29.1682,2334034.0,2252253.0,
2002,15.06,74535.8,31.3474,2201914.0,2114765.0,
2003,11.99,91312.5,30.6877,2168168.0,2124284.0,
2004,11.74,118189.1,28.815,2117434.0,2076159.0,
2005,10.91,150571.0,28.2864,2088639.0,1981207.0,
2006,9.0,188166.9,27.1852,2122071.0,1989752.0,
2007,11.87,232817.4,25.577,2284936.0,2044993.0,
2008,13.28,289170.3,24.8553,2215945.0,1973839.0,62.0
2009,8.8,271787.1,31.7231,1987598.0,1740149.0,49.5
2010,8.78,324177.2,30.3692,2102304.0,1794496.0,51.5
2011,6.1,420324.1,29.3874,3415055.0,3095294.0,41.5
2012,6.58,474990.8,31.093,4196143.0,3901123.0,59.0
2013,6.45,507530.2,31.848,4496861.0,4204082.0,59.0
2014,11.36,539424.1,38.4217,4663427.0,4363437.0,61.5
2015,12.91,565361.8,60.9579,4734523.0,4444849.0,67.0
2016,5.38,580916.0,67.0349,4706441.0,4444365.0,67.0
2017,2.52,621870.5,58.3529,4773500.0,4561622.0,72.0
2018,4.27,702627.7,62.7078,4911566.0,4786712.0,72.0
2019,3.05,741097.4,64.7362,4749769.0,4464666.0,69.5
2020,4.91,728860.2,72.1464,4120743.0,4014269.0,66.5
2021,8.39,915156.8,73.6541,4277442.0,3847540.0,67.5
2022,11.92,1069708.4,68.5494,4195579.0,4133662.0,67.0
2023,7.42,1205841.9,85.2466,4051437.0,3847808.0,66.5
2024,9.51,1376477.9,92.5652,,,66.0
